run_id,domain,task,seed,avg3,final
humanoidmaze-medium-navigate__task3__sd0,humanoidmaze-medium-navigate,task3,sd0,1.0,1.0
humanoidmaze-medium-navigate__task3__sd1,humanoidmaze-medium-navigate,task3,sd1,1.0,1.0
humanoidmaze-medium-navigate__task3__sd2,humanoidmaze-medium-navigate,task3,sd2,0.9866666666666667,1.0
humanoidmaze-medium-navigate__task3__sd3,humanoidmaze-medium-navigate,task3,sd3,0.9933333333333333,0.98
humanoidmaze-medium-navigate__task3__sd4,humanoidmaze-medium-navigate,task3,sd4,0.9733333333333333,1.0
humanoidmaze-medium-navigate__task3__sd5,humanoidmaze-medium-navigate,task3,sd5,1.0,1.0
humanoidmaze-medium-navigate__task3__sd6,humanoidmaze-medium-navigate,task3,sd6,0.98,0.98
humanoidmaze-medium-navigate__task3__sd7,humanoidmaze-medium-navigate,task3,sd7,0.9933333333333333,1.0
humanoidmaze-medium-navigate__task4__sd0,humanoidmaze-medium-navigate,task4,sd0,0.6066666666666666,0.98
humanoidmaze-medium-navigate__task4__sd1,humanoidmaze-medium-navigate,task4,sd1,0.9533333333333333,0.9
humanoidmaze-medium-navigate__task4__sd2,humanoidmaze-medium-navigate,task4,sd2,0.9066666666666666,0.94
humanoidmaze-medium-navigate__task4__sd3,humanoidmaze-medium-navigate,task4,sd3,0.9666666666666667,1.0
humanoidmaze-medium-navigate__task4__sd4,humanoidmaze-medium-navigate,task4,sd4,0.9666666666666667,0.96
humanoidmaze-medium-navigate__task4__sd5,humanoidmaze-medium-navigate,task4,sd5,0.7266666666666667,0.9
puzzle-3x3-play__task1__sd0,puzzle-3x3-play,task1,sd0,1.0,1.0
puzzle-3x3-play__task1__sd1,puzzle-3x3-play,task1,sd1,1.0,1.0
puzzle-3x3-play__task1__sd2,puzzle-3x3-play,task1,sd2,1.0,1.0
puzzle-3x3-play__task1__sd3,puzzle-3x3-play,task1,sd3,1.0,1.0
puzzle-3x3-play__task1__sd4,puzzle-3x3-play,task1,sd4,1.0,1.0
puzzle-3x3-play__task1__sd5,puzzle-3x3-play,task1,sd5,1.0,1.0
puzzle-3x3-play__task1__sd6,puzzle-3x3-play,task1,sd6,1.0,1.0
puzzle-3x3-play__task1__sd7,puzzle-3x3-play,task1,sd7,1.0,1.0
puzzle-3x3-play__task2__sd0,puzzle-3x3-play,task2,sd0,1.0,1.0
puzzle-3x3-play__task2__sd1,puzzle-3x3-play,task2,sd1,1.0,1.0
puzzle-3x3-play__task2__sd2,puzzle-3x3-play,task2,sd2,1.0,1.0
puzzle-3x3-play__task2__sd3,puzzle-3x3-play,task2,sd3,1.0,1.0
puzzle-3x3-play__task2__sd4,puzzle-3x3-play,task2,sd4,1.0,1.0
puzzle-3x3-play__task2__sd5,puzzle-3x3-play,task2,sd5,1.0,1.0
puzzle-3x3-play__task2__sd6,puzzle-3x3-play,task2,sd6,1.0,1.0
puzzle-3x3-play__task2__sd7,puzzle-3x3-play,task2,sd7,1.0,1.0
puzzle-3x3-play__task3__sd0,puzzle-3x3-play,task3,sd0,1.0,1.0
puzzle-3x3-play__task3__sd1,puzzle-3x3-play,task3,sd1,1.0,1.0
